Hora,Corrente_A,SOH_Pct,Capacity_Ah,SoC_Pct
2543,25.0,65.39489283125043,65.39489283125043,100.0
2544,25.0,65.39489283125043,65.39489283125043,100.0
2545,25.0,65.39489283125043,65.39489283125043,100.0
2546,25.0,65.39489283125043,65.39489283125043,100.0
2547,25.0,65.39489283125043,65.39489283125043,100.0
2548,25.0,65.39489283125043,65.39489283125043,100.0
2549,25.0,65.39489283125043,65.39489283125043,100.0
2550,25.0,65.39489283125043,65.39489283125043,100.0
2551,25.0,65.39489283125043,65.39489283125043,100.0
2552,-25.0,65.39489283125043,65.39489283125043,61.77071493256858
2553,-25.0,65.39489283125043,65.39489283125043,23.54142986513716
2554,-25.0,65.39489283125043,65.39489283125043,0.0
2555,-25.0,65.39489283125043,65.39489283125043,0.0
2556,-25.0,65.39489283125043,65.39489283125043,0.0
2557,-25.0,65.39489283125043,65.39489283125043,0.0
2558,-25.0,65.39489283125043,65.39489283125043,0.0
2559,-25.0,65.39489283125043,65.39489283125043,0.0
2560,-25.0,65.39489283125043,65.39489283125043,0.0
2561,-25.0,65.39489283125043,65.39489283125043,0.0
2562,-25.0,65.39489283125043,65.39489283125043,0.0
2563,-25.0,65.39489283125043,65.39489283125043,0.0
2564,25.0,65.39489283125043,65.39489283125043,38.22928506743142
2565,25.0,65.39489283125043,65.39489283125043,76.45857013486284
2566,25.0,65.27489283125043,65.27489283125043,100.0
2567,25.0,65.27489283125043,65.27489283125043,100.0
2568,25.0,65.27489283125043,65.27489283125043,100.0
2569,25.0,65.27489283125043,65.27489283125043,100.0
2570,25.0,65.27489283125043,65.27489283125043,100.0
2571,25.0,65.27489283125043,65.27489283125043,100.0
2572,25.0,65.27489283125043,65.27489283125043,100.0
2573,25.0,65.27489283125043,65.27489283125043,100.0
2574,25.0,65.27489283125043,65.27489283125043,100.0
2575,25.0,65.27489283125043,65.27489283125043,100.0
2576,-25.0,65.27489283125043,65.27489283125043,61.70043501315222
2577,-25.0,65.27489283125043,65.27489283125043,23.400870026304446
2578,-25.0,65.27489283125043,65.27489283125043,0.0
2579,-25.0,65.27489283125043,65.27489283125043,0.0
2580,-25.0,65.27489283125043,65.27489283125043,0.0
2581,-25.0,65.27489283125043,65.27489283125043,0.0
2582,-25.0,65.27489283125043,65.27489283125043,0.0
2583,-25.0,65.27489283125043,65.27489283125043,0.0
2584,-25.0,65.27489283125043,65.27489283125043,0.0
2585,-25.0,65.27489283125043,65.27489283125043,0.0
2586,-25.0,65.27489283125043,65.27489283125043,0.0
2587,-25.0,65.27489283125043,65.27489283125043,0.0
2588,25.0,65.27489283125043,65.27489283125043,38.29956498684778
2589,25.0,65.27489283125043,65.27489283125043,76.59912997369555
2590,25.0,65.15489283125042,65.15489283125042,100.0
2591,25.0,65.15489283125042,65.15489283125042,100.0
2592,25.0,65.15489283125042,65.15489283125042,100.0
2593,25.0,65.15489283125042,65.15489283125042,100.0
2594,25.0,65.15489283125042,65.15489283125042,100.0
2595,25.0,65.15489283125042,65.15489283125042,100.0
2596,25.0,65.15489283125042,65.15489283125042,100.0
2597,25.0,65.15489283125042,65.15489283125042,100.0
2598,25.0,65.15489283125042,65.15489283125042,100.0
2599,25.0,65.15489283125042,65.15489283125042,100.0
2600,-25.0,65.15489283125042,65.15489283125042,61.62989621554687
2601,-25.0,65.15489283125042,65.15489283125042,23.259792431093743
2602,-25.0,65.15489283125042,65.15489283125042,0.0
2603,-25.0,65.15489283125042,65.15489283125042,0.0
2604,-25.0,65.15489283125042,65.15489283125042,0.0
2605,-25.0,65.15489283125042,65.15489283125042,0.0
2606,-25.0,65.15489283125042,65.15489283125042,0.0
2607,-25.0,65.15489283125042,65.15489283125042,0.0
2608,-25.0,65.15489283125042,65.15489283125042,0.0
2609,-25.0,65.15489283125042,65.15489283125042,0.0
2610,-25.0,65.15489283125042,65.15489283125042,0.0
2611,-25.0,65.15489283125042,65.15489283125042,0.0
2612,25.0,65.15489283125042,65.15489283125042,38.37010378445313
2613,25.0,65.15489283125042,65.15489283125042,76.74020756890626
2614,25.0,65.03489283125042,65.03489283125042,100.0
2615,25.0,65.03489283125042,65.03489283125042,100.0
2616,25.0,65.03489283125042,65.03489283125042,100.0
2617,25.0,65.03489283125042,65.03489283125042,100.0
2618,25.0,65.03489283125042,65.03489283125042,100.0
2619,25.0,65.03489283125042,65.03489283125042,100.0
2620,25.0,65.03489283125042,65.03489283125042,100.0
2621,25.0,65.03489283125042,65.03489283125042,100.0
2622,25.0,65.03489283125042,65.03489283125042,100.0
2623,25.0,65.03489283125042,65.03489283125042,100.0
2624,-25.0,65.03489283125042,65.03489283125042,61.5590971067349
2625,-25.0,65.03489283125042,65.03489283125042,23.118194213469806
2626,-25.0,65.03489283125042,65.03489283125042,0.0
2627,-25.0,65.03489283125042,65.03489283125042,0.0
2628,-25.0,65.03489283125042,65.03489283125042,0.0
2629,-25.0,65.03489283125042,65.03489283125042,0.0
2630,-25.0,65.03489283125042,65.03489283125042,0.0
2631,-25.0,65.03489283125042,65.03489283125042,0.0
2632,-25.0,65.03489283125042,65.03489283125042,0.0
2633,-25.0,65.03489283125042,65.03489283125042,0.0
2634,-25.0,65.03489283125042,65.03489283125042,0.0
2635,-25.0,65.03489283125042,65.03489283125042,0.0
2636,25.0,65.03489283125042,65.03489283125042,38.4409028932651
2637,25.0,65.03489283125042,65.03489283125042,76.8818057865302
2638,25.0,64.91489283125041,64.91489283125041,100.0
2639,25.0,64.91489283125041,64.91489283125041,100.0
2640,25.0,64.91489283125041,64.91489283125041,100.0
2641,25.0,64.91489283125041,64.91489283125041,100.0
2642,25.0,64.91489283125041,64.91489283125041,100.0
2643,25.0,64.91489283125041,64.91489283125041,100.0
2644,25.0,64.91489283125041,64.91489283125041,100.0
2645,25.0,64.91489283125041,64.91489283125041,100.0
2646,25.0,64.91489283125041,64.91489283125041,100.0
2647,25.0,64.91489283125041,64.91489283125041,100.0
2648,-25.0,64.91489283125041,64.91489283125041,61.48803624310252
2649,-25.0,64.91489283125041,64.91489283125041,22.97607248620504
2650,-25.0,64.91489283125041,64.91489283125041,0.0
2651,-25.0,64.91489283125041,64.91489283125041,0.0
2652,-25.0,64.91489283125041,64.91489283125041,0.0
2653,-25.0,64.91489283125041,64.91489283125041,0.0
2654,-25.0,64.91489283125041,64.91489283125041,0.0
2655,-25.0,64.91489283125041,64.91489283125041,0.0
2656,-25.0,64.91489283125041,64.91489283125041,0.0
2657,-25.0,64.91489283125041,64.91489283125041,0.0
2658,-25.0,64.91489283125041,64.91489283125041,0.0
2659,-25.0,64.91489283125041,64.91489283125041,0.0
2660,25.0,64.91489283125041,64.91489283125041,38.51196375689748
2661,25.0,64.91489283125041,64.91489283125041,77.02392751379496
2662,25.0,64.79489283125041,64.79489283125041,100.0
2663,25.0,64.79489283125041,64.79489283125041,100.0
2664,25.0,64.79489283125041,64.79489283125041,100.0
2665,25.0,64.79489283125041,64.79489283125041,100.0
2666,25.0,64.79489283125041,64.79489283125041,100.0
2667,25.0,64.79489283125041,64.79489283125041,100.0
2668,25.0,64.79489283125041,64.79489283125041,100.0
2669,25.0,64.79489283125041,64.79489283125041,100.0
2670,25.0,64.79489283125041,64.79489283125041,100.0
2671,25.0,64.79489283125041,64.79489283125041,100.0
2672,-25.0,64.79489283125041,64.79489283125041,61.41671217034166
2673,-25.0,64.79489283125041,64.79489283125041,22.833424340683322
2674,-25.0,64.79489283125041,64.79489283125041,0.0
2675,-25.0,64.79489283125041,64.79489283125041,0.0
2676,-25.0,64.79489283125041,64.79489283125041,0.0
2677,-25.0,64.79489283125041,64.79489283125041,0.0
2678,-25.0,64.79489283125041,64.79489283125041,0.0
2679,-25.0,64.79489283125041,64.79489283125041,0.0
2680,-25.0,64.79489283125041,64.79489283125041,0.0
2681,-25.0,64.79489283125041,64.79489283125041,0.0
2682,-25.0,64.79489283125041,64.79489283125041,0.0
2683,-25.0,64.79489283125041,64.79489283125041,0.0
2684,25.0,64.79489283125041,64.79489283125041,38.58328782965834
2685,25.0,64.79489283125041,64.79489283125041,77.16657565931668
2686,25.0,64.6748928312504,64.6748928312504,100.0
2687,25.0,64.6748928312504,64.6748928312504,100.0
2688,25.0,64.6748928312504,64.6748928312504,100.0
2689,25.0,64.6748928312504,64.6748928312504,100.0
2690,25.0,64.6748928312504,64.6748928312504,100.0
2691,25.0,64.6748928312504,64.6748928312504,100.0
2692,25.0,64.6748928312504,64.6748928312504,100.0
2693,25.0,64.6748928312504,64.6748928312504,100.0
2694,25.0,64.6748928312504,64.6748928312504,100.0
2695,25.0,64.6748928312504,64.6748928312504,100.0
2696,-25.0,64.6748928312504,64.6748928312504,61.34512342335078
2697,-25.0,64.6748928312504,64.6748928312504,22.690246846701555
2698,-25.0,64.6748928312504,64.6748928312504,0.0
2699,-25.0,64.6748928312504,64.6748928312504,0.0
2700,-25.0,64.6748928312504,64.6748928312504,0.0
2701,-25.0,64.6748928312504,64.6748928312504,0.0
2702,-25.0,64.6748928312504,64.6748928312504,0.0
2703,-25.0,64.6748928312504,64.6748928312504,0.0
2704,-25.0,64.6748928312504,64.6748928312504,0.0
2705,-25.0,64.6748928312504,64.6748928312504,0.0
2706,-25.0,64.6748928312504,64.6748928312504,0.0
2707,-25.0,64.6748928312504,64.6748928312504,0.0
2708,25.0,64.6748928312504,64.6748928312504,38.65487657664922
2709,25.0,64.6748928312504,64.6748928312504,77.30975315329844
2710,25.0,64.5548928312504,64.5548928312504,100.0
2711,25.0,64.5548928312504,64.5548928312504,100.0
2712,25.0,64.5548928312504,64.5548928312504,100.0
2713,25.0,64.5548928312504,64.5548928312504,100.0
2714,25.0,64.5548928312504,64.5548928312504,100.0
2715,25.0,64.5548928312504,64.5548928312504,100.0
2716,25.0,64.5548928312504,64.5548928312504,100.0
2717,25.0,64.5548928312504,64.5548928312504,100.0
2718,25.0,64.5548928312504,64.5548928312504,100.0
2719,25.0,64.5548928312504,64.5548928312504,100.0
2720,-25.0,64.5548928312504,64.5548928312504,61.27326852613449
2721,-25.0,64.5548928312504,64.5548928312504,22.546537052268974
2722,-25.0,64.5548928312504,64.5548928312504,0.0
2723,-25.0,64.5548928312504,64.5548928312504,0.0
2724,-25.0,64.5548928312504,64.5548928312504,0.0
2725,-25.0,64.5548928312504,64.5548928312504,0.0
2726,-25.0,64.5548928312504,64.5548928312504,0.0
2727,-25.0,64.5548928312504,64.5548928312504,0.0
2728,-25.0,64.5548928312504,64.5548928312504,0.0
2729,-25.0,64.5548928312504,64.5548928312504,0.0
2730,-25.0,64.5548928312504,64.5548928312504,0.0
2731,-25.0,64.5548928312504,64.5548928312504,0.0
2732,25.0,64.5548928312504,64.5548928312504,38.72673147386551
2733,25.0,64.5548928312504,64.5548928312504,77.45346294773103
2734,25.0,64.4348928312504,64.4348928312504,100.0
2735,25.0,64.4348928312504,64.4348928312504,100.0
2736,25.0,64.4348928312504,64.4348928312504,100.0
2737,25.0,64.4348928312504,64.4348928312504,100.0
2738,25.0,64.4348928312504,64.4348928312504,100.0
2739,25.0,64.4348928312504,64.4348928312504,100.0
2740,25.0,64.4348928312504,64.4348928312504,100.0
2741,25.0,64.4348928312504,64.4348928312504,100.0
2742,25.0,64.4348928312504,64.4348928312504,100.0
2743,25.0,64.4348928312504,64.4348928312504,100.0
2744,-25.0,64.4348928312504,64.4348928312504,61.20114599170218
2745,-25.0,64.4348928312504,64.4348928312504,22.402291983404353
2746,-25.0,64.4348928312504,64.4348928312504,0.0
2747,-25.0,64.4348928312504,64.4348928312504,0.0
2748,-25.0,64.4348928312504,64.4348928312504,0.0
2749,-25.0,64.4348928312504,64.4348928312504,0.0
2750,-25.0,64.4348928312504,64.4348928312504,0.0
2751,-25.0,64.4348928312504,64.4348928312504,0.0
2752,-25.0,64.4348928312504,64.4348928312504,0.0
2753,-25.0,64.4348928312504,64.4348928312504,0.0
2754,-25.0,64.4348928312504,64.4348928312504,0.0
2755,-25.0,64.4348928312504,64.4348928312504,0.0
2756,25.0,64.4348928312504,64.4348928312504,38.79885400829782
2757,25.0,64.4348928312504,64.4348928312504,77.59770801659565
2758,25.0,64.31489283125039,64.31489283125039,100.0
2759,25.0,64.31489283125039,64.31489283125039,100.0
2760,25.0,64.31489283125039,64.31489283125039,100.0
2761,25.0,64.31489283125039,64.31489283125039,100.0
2762,25.0,64.31489283125039,64.31489283125039,100.0
2763,25.0,64.31489283125039,64.31489283125039,100.0
2764,25.0,64.31489283125039,64.31489283125039,100.0
2765,25.0,64.31489283125039,64.31489283125039,100.0
2766,25.0,64.31489283125039,64.31489283125039,100.0
2767,25.0,64.31489283125039,64.31489283125039,100.0
2768,-25.0,64.31489283125039,64.31489283125039,61.1287543219654
2769,-25.0,64.31489283125039,64.31489283125039,22.257508643930805
2770,-25.0,64.31489283125039,64.31489283125039,0.0
2771,-25.0,64.31489283125039,64.31489283125039,0.0
2772,-25.0,64.31489283125039,64.31489283125039,0.0
2773,-25.0,64.31489283125039,64.31489283125039,0.0
2774,-25.0,64.31489283125039,64.31489283125039,0.0
2775,-25.0,64.31489283125039,64.31489283125039,0.0
2776,-25.0,64.31489283125039,64.31489283125039,0.0
2777,-25.0,64.31489283125039,64.31489283125039,0.0
2778,-25.0,64.31489283125039,64.31489283125039,0.0
2779,-25.0,64.31489283125039,64.31489283125039,0.0
